service,top90_trace_num,top90_cg_num,ms_num,label
S_128454359,20703,11,6,4
S_151796473,20701,11,6,4
S_160752628,20698,1,3,2
S_94918224,20679,12,6,4
S_113484140,20655,11,6,4
S_48220288,20651,11,6,4
S_163179429,20610,11,6,4
S_86536214,20595,11,6,4
S_131417852,20548,2,3,1
S_98513191,20545,11,6,4
S_84736765,20536,11,6,4
S_149975893,20507,3,7,1
S_52410034,20493,11,6,4
S_120673543,20475,11,6,4
S_20089598,20469,11,6,4
S_94918368,20369,11,6,4
S_96087878,20319,1,3,5
S_116450433,20313,4,4,5
S_2428653,20269,11,6,4
S_82946178,20265,11,6,4
S_165551964,20259,1,2,1
S_103275516,20252,3,3,1
S_64989360,20230,11,6,4
S_146416463,20195,11,6,4
S_146385491,20189,2,3,1
S_109282558,20183,12,3,1
S_39834109,20175,1,4,5
S_152393111,20173,11,6,4
S_103066792,20163,1,3,5
S_90731458,20135,39,8,0
S_6617404,20129,11,6,4
S_103305677,20099,11,6,4
S_129052319,20064,11,6,4
S_141021709,20011,11,6,4
S_27269324,20001,11,6,4
S_71569701,19955,11,6,4
S_71563202,19941,1,3,1
S_5391980,19823,1,2,5
S_133238139,19790,2,4,2
S_29662301,19780,11,6,4
S_100915154,19726,39,8,0
S_78686569,19725,1,3,2
S_103306671,19654,11,6,4
S_4762755,19615,2,4,2
S_54785120,19593,3,5,3
S_143401221,19540,3,5,3
S_166139151,19510,1,3,1
S_20087965,19457,11,6,4
S_148779779,19421,5,6,1
S_124856309,19334,11,6,4
S_44035803,19333,38,8,0
S_161962592,19259,3,5,3
S_123644869,19212,3,5,3
S_17688896,19182,1,3,1
S_158968434,19100,3,5,3
S_160765065,19057,3,5,3
S_79933176,19048,3,5,3
S_106280216,19011,3,5,3
S_130831301,18994,3,5,3
S_109260902,18949,1,3,1
S_147592296,18943,3,5,3
S_152993240,18942,11,6,4
S_17076179,18938,3,5,3
S_5402968,18925,3,5,3
S_115862687,18910,3,5,3
S_163778141,18895,11,6,4
S_123047202,18888,3,5,3
S_63171764,18880,3,5,3
S_87116563,18878,3,5,3
S_102687717,18856,3,5,3
S_38013704,18846,2,3,5
S_103286838,18846,3,5,3
S_149985469,18833,3,5,3
S_63171766,18811,3,5,3
S_44609617,18810,3,5,3
S_11388330,18810,3,5,3
S_34432726,18809,3,5,3
S_146396684,18809,3,5,3
S_148789359,18796,3,5,3
S_154771986,18783,3,5,3
S_94301411,18776,3,5,3
S_14078252,18773,3,5,3
S_45807654,18768,3,5,3
S_96694984,18757,3,5,3
S_160166400,18738,3,5,3
S_45208667,18735,3,5,3
S_103286837,18734,3,5,3
S_143401218,18729,3,5,3
S_25453519,18727,3,5,3
S_19471603,18722,3,5,3
S_63171765,18719,3,5,3
S_55981060,18718,3,5,3
S_8395947,18712,3,5,3
S_88315001,18712,3,5,3
S_124242023,18702,3,5,3
S_159567730,18702,3,5,3
S_105681800,18701,3,5,3
S_69156093,18698,3,5,3
S_67960328,18691,3,5,3
S_90110535,18690,3,5,3
S_154771984,18689,3,5,3
S_92492696,18680,1,3,1
S_69156092,18677,3,5,3
S_72747900,18673,3,5,3
S_133822715,18670,3,5,3
S_67361231,18669,3,5,3
S_153574360,18669,3,5,3
S_141020518,18668,39,8,0
S_118258937,18667,3,5,3
S_152975874,18664,3,5,3
S_33234592,18660,3,5,3
S_4205848,18659,3,5,3
S_14677441,18650,3,5,3
S_27249611,18648,3,5,3
S_52391837,18648,3,5,3
S_153574359,18639,3,5,3
S_91905749,18633,3,5,3
S_10192312,18628,3,5,3
S_146396683,18626,3,5,3
S_23061649,18622,3,5,3
S_50596722,18621,3,5,3
S_114663987,18619,3,5,3
S_18274585,18617,3,5,3
S_28444486,18614,3,5,3
S_103886174,18607,3,5,3
S_159567729,18605,3,5,3
S_63769873,18605,3,5,3
S_35630086,18604,3,5,3
S_66163547,18600,3,5,3
S_11388329,18599,3,5,3
S_157170948,18598,3,5,3
S_78137744,18594,3,5,3
S_6600167,18585,3,5,3
S_149985468,18582,3,5,3
S_163759395,18579,3,5,3
S_156570614,18577,3,5,3
S_87716204,18576,3,5,3
S_75741965,18575,3,5,3
S_24856356,18566,3,5,3
S_108074805,18566,3,5,3
S_148789358,18561,3,5,3
S_18274584,18557,3,5,3
S_48800478,18557,3,5,3
S_34432725,18554,3,5,3
S_152376222,18552,3,5,3
S_108074804,18542,3,5,3
S_144599778,18538,3,5,3
S_139804207,18538,3,5,3
S_24257214,18534,3,5,3
S_136812924,18530,3,5,3
S_112289071,18524,39,8,0
S_103886175,18524,3,5,3
S_165551759,18521,3,5,3
S_90110537,18521,3,5,3
S_88913114,18520,3,5,3
S_164955740,18516,3,5,3
S_9592318,18516,3,5,3
S_107476418,18510,3,5,3
S_10210599,18509,39,8,0
S_44609616,18508,3,5,3
S_155372266,18506,3,5,3
S_1210429,18506,3,5,3
S_105083486,18504,3,5,3
S_117060275,18499,3,5,3
S_29542524,18492,3,4,1
S_55981059,18492,3,5,3
S_90708722,18491,3,5,3
S_149386728,18490,3,5,3
S_120654627,18488,3,5,3
S_104484995,18487,3,5,3
S_130831303,18482,3,5,3
S_48202600,18482,3,5,3
S_48202601,18476,3,5,3
S_5402969,18473,3,5,3
S_134420906,18472,3,5,3
S_163159700,18472,3,5,3
S_26051516,18470,3,5,3
S_114064838,18468,3,5,3
S_96694985,18466,3,5,3
S_14677442,18462,3,5,3
S_100293121,18460,3,5,3
S_58977659,18458,3,5,3
S_87716205,18458,3,5,3
S_124838278,18457,3,5,3
